#tstp   Ax    Ay
-1  0  0
0  -8.81441e-31  -6.05485e-32
1  -1.07778e-30  -8.48715e-32
2  -1.31733e-30  -1.17001e-31
3  -1.6095e-30  -1.59188e-31
4  -1.96571e-30  -2.14288e-31
5  -2.39982e-30  -2.85922e-31
6  -2.92865e-30  -3.78666e-31
7  -3.57263e-30  -4.98301e-31
8  -4.3565e-30  -6.52109e-31
9  -5.3103e-30  -8.49253e-31
10  -6.47038e-30  -1.10125e-30
11  -7.8808e-30  -1.42253e-30
12  -9.59491e-30  -1.83119e-30
13  -1.16773e-29  -2.34986e-30
14  -1.4206e-29  -3.00683e-30
15  -1.72755e-29  -3.8374e-30
16  -2.1e-29  -4.88556e-30
17  -2.55173e-29  -6.20613e-30
18  -3.09943e-29  -7.86725e-30
19  -3.76318e-29  -9.95364e-30
20  -4.56728e-29  -1.25705e-29
21  -5.541e-29  -1.58481e-29
22  -6.71965e-29  -1.99482e-29
23  -8.14577e-29  -2.50709e-29
24  -9.87063e-29  -3.14635e-29
25  -1.1956e-28  -3.94319e-29
26  -1.44761e-28  -4.93538e-29
27  -1.75204e-28  -6.16952e-29
28  -2.11964e-28  -7.70304e-29
29  -2.56333e-28  -9.60673e-29
30  -3.09866e-28  -1.19677e-28
31  -3.74428e-28  -1.48932e-28
32  -4.52258e-28  -1.85148e-28
33  -5.46044e-28  -2.29945e-28
34  -6.59012e-28  -2.85308e-28
35  -7.95028e-28  -3.53674e-28
36  -9.58724e-28  -4.38031e-28
37  -1.15565e-27  -5.42038e-28
38  -1.39246e-27  -6.70176e-28
39  -1.6771e-27  -8.27925e-28
40  -2.01909e-27  -1.02199e-27
41  -2.42982e-27  -1.26056e-27
42  -2.92288e-27  -1.55364e-27
43  -3.51453e-27  -1.91344e-27
44  -4.22417e-27  -2.35486e-27
45  -5.07497e-27  -2.89605e-27
46  -6.09456e-27  -3.55913e-27
47  -7.3159e-27  -4.37106e-27
48  -8.77828e-27  -5.36462e-27
49  -1.05285e-26  -6.5797e-27
50  -1.26222e-26  -8.06479e-27
51  -1.51259e-26  -9.87882e-27
52  -1.81183e-26  -1.20934e-26
53  -2.16934e-26  -1.47952e-26
54  -2.59625e-26  -1.80899e-26
55  -3.10582e-26  -2.2105e-26
56  -3.71378e-26  -2.69954e-26
57  -4.43878e-26  -3.29488e-26
58  -5.30297e-26  -4.01922e-26
59  -6.33258e-26  -4.90004e-26
60  -7.5587e-26  -5.97057e-26
61  -9.01816e-26  -7.271e-26
62  -1.07545e-25  -8.84986e-26
63  -1.28194e-25  -1.07658e-25
64  -1.52737e-25  -1.30896e-25
65  -1.81895e-25  -1.59066e-25
66  -2.16518e-25  -1.93198e-25
67  -2.57611e-25  -2.34534e-25
68  -3.06358e-25  -2.84568e-25
69  -3.64157e-25  -3.45103e-25
70  -4.32654e-25  -4.18306e-25
71  -5.13787e-25  -5.06786e-25
72  -6.09838e-25  -6.13679e-25
73  -7.23491e-25  -7.42756e-25
74  -8.57902e-25  -8.98548e-25
75  -1.01678e-24  -1.0865e-24
76  -1.20447e-24  -1.31313e-24
77  -1.42608e-24  -1.58629e-24
78  -1.6876e-24  -1.91537e-24
79  -1.99606e-24  -2.31165e-24
80  -2.35965e-24  -2.78862e-24
81  -2.788e-24  -3.36246e-24
82  -3.29236e-24  -4.05253e-24
83  -3.88585e-24  -4.88199e-24
84  -4.58383e-24  -5.87858e-24
85  -5.40418e-24  -7.07543e-24
86  -6.36778e-24  -8.51214e-24
87  -7.49895e-24  -1.0236e-23
88  -8.82598e-24  -1.23036e-23
89  -1.03818e-23  -1.47823e-23
90  -1.22046e-23  -1.77526e-23
91  -1.43389e-23  -2.13105e-23
92  -1.68362e-23  -2.55702e-23
93  -1.97562e-23  -3.06683e-23
94  -2.31679e-23  -3.67669e-23
95  -2.71515e-23  -4.40594e-23
96  -3.17993e-23  -5.27759e-23
97  -3.7218e-23  -6.31898e-23
98  -4.35306e-23  -7.56268e-23
99  -5.08787e-23  -9.04733e-23
100  -5.94253e-23  -1.08189e-22
101  -6.93576e-23  -1.29319e-22
102  -8.08905e-23  -1.54512e-22
103  -9.42699e-23  -1.84537e-22
104  -1.09778e-22  -2.20303e-22
